3040	solved	0	3039	050003000100
5731	solved	1	2688	0201040002000100
8754	solved	2	3021	0100060001000600
11510	solved	3	2752	0400010006000300
14172	solved	4	2659	070101000500060003000800
16998	solved	5	2822	0200020003010100050104000400
19653	solved	6	2652	0500080004000400010003010200
23003	solved	7	3348	0600070009000800030003000100
25514	solved	8	2507	01000500070004000803020004000800
28219	solved	9	2700	02000100050006010100020005000600
34611	solved	10	6390	0800020101000200040009000a00080007000600
37611	solved	11	2994	09000100030002000200050001000504050206000500
41151	solved	12	3537	0901090405020300020006040700010006000500
43470	solved	13	2314	020003000100020003020200030104000100
45833	solved	14	2360	0100020003000b01050204000b0305000800080007000500
49166	solved	15	3328	02000503030005080603010004000603050203000300
51625	solved	16	2453	0a0009000801040004000600060001000500
56389	solved	17	4759	07020701020002020201060303000200020002000200010002000100
59617	solved	18	3221	0a00090107010600040004050100030002000400
64643	solved	19	5020	0b00010002000200090004000800070009020800060007000500
66966	solved	20	2318	0900060004000b01010009000a0008000500090009010500
70697	solved	21	3724	060006020802070009000100030109020b000700050001000400
